ATC1	ATC2	count	level	document
A04AA01	A04AD12	15	ingen	dokumenteret
A04AA05	A04AD12	18	ingen	dokumenteret
A04AA01	A10BA02	2	moderat	dokumenteret
A04AA01	A10BD08	1	moderat	dokumenteret
A01AB09	B01AA03	1	udtalt	veldokumenteret
A02BC02	B01AA03	1	ingen	dokumenteret
A11GA01	B01AA03	2	mulig	dokumenteret
A02BC02	B01AC06	2	mulig	dokumenteret
A02BC01	B01AC07	1	ingen	dokumenteret
B01AB01	B01AC16	4	ingen	dokumenteret
B01AB01	B01AC24	1	ingen	dokumenteret
B01AB05	B01AC24	6	ingen	dokumenteret
B01AC06	B01AX05	2	ingen	dokumenteret
A11CA01	B03AA02	1	ingen	dokumenteret
A12AA06	B03AA02	1	moderat	veldokumenteret
A12AA07	B03AA02	17	moderat	veldokumenteret
A12AX	B03AC	1	moderat	veldokumenteret
B01AC06	B05BA10	2	ingen	dokumenteret
B01AC06	B05BA10	2	mulig	dokumenteret
B03AA02	B05BA10	3	moderat	veldokumenteret
B03AA01	B05BB01	2	moderat	veldokumenteret
B03AA07	B05BB01	2	moderat	veldokumenteret
B03AC	B05BB01	5	moderat	veldokumenteret
B03AA01	B05XA	1	moderat	veldokumenteret
B03AA02	B05XA	9	moderat	veldokumenteret
A12AA06	B05XA31	1	moderat	veldokumenteret
A12AX	B05XA31	3	moderat	veldokumenteret
B03AA02	B05XA31	2	moderat	veldokumenteret
B05BA10	B05XA31	44	moderat	veldokumenteret
B05BB01	B05XA31	3	moderat	veldokumenteret
B05BB02	B05XA31	2	moderat	veldokumenteret
B01AC06	C01DA02	3	uafklaret	begrænset dokumenteret
C01BD01	C03AB01	1	uafklaret	dokumenteret
A01AB03	C07AB02	12	moderat	dokumenteret
C01BD01	C07AB02	1	moderat	dokumenteret
B01AA03	C07AB07	1	ingen	begrænset dokumenteret
C07AB02	C08CA05	3	ingen	dokumenteret
A10BA02	C09AA04	1	mulig	ringe dokumenteret
A10BB12	C09AA05	1	mulig	ringe dokumenteret
A10AB05	C09AA10	1	mulig	veldokumenteret
A10AB01	C09BA02	1	mulig	veldokumenteret
A10AB05	C09BA02	2	mulig	veldokumenteret
A10AE04	C09BA02	1	mulig	veldokumenteret
A10BB12	C09DA01	1	mulig	ringe dokumenteret
A10BB07	C10AA01	1	ingen	dokumenteret
B05BA10	C10AA01	1	ingen	dokumenteret
B05XC	C10AA01	1	uafklaret	dokumenteret
C01BD01	C10AA01	1	udtalt	dokumenteret
B01AA03	C10AA05	1	ingen	dokumenteret
B01AC06	C10AA05	1	ingen	dokumenteret
B01AC22	C10AA05	6	ingen	dokumenteret
B01AC24	C10AA05	2	ringe	dokumenteret
B01AF01	C10AA05	1	ingen	dokumenteret
B05XC	C10AA05	1	ingen	begrænset dokumenteret
C01BD01	C10AA07	1	mulig	ringe dokumenteret
B02AA02	G03CA03	1	uafklaret	ringe dokumenteret
A04AD12	H02AB02	12	moderat	dokumenteret
A10BB12	H02AB02	2	mulig	ringe dokumenteret
A10BB12	H02AB04	1	mulig	ringe dokumenteret
G03CA03	H02AB04	1	mulig	dokumenteret
A04AD12	H02AB06	14	ingen	begrænset dokumenteret
B01AC06	H02AB09	7	ringe	dokumenteret
A12AA06	H03AA01	1	moderat	dokumenteret
A12AA07	H03AA01	14	moderat	dokumenteret
B05BA10	H03AA01	3	moderat	dokumenteret
B05XA31	H03AA01	2	moderat	dokumenteret
B01AA03	J01CA01	1	moderat	ringe dokumenteret
C08CA01	J01DC02	1	ingen	dokumenteret
C03DA01	J01EE01	3	udtalt	dokumenteret
C01AA05	J01FA01	2	moderat	dokumenteret
C10AA05	J01FA01	3	mulig	dokumenteret
A02BC05	J01FA09	1	ringe	dokumenteret
